eval_total_steps,l2,gail,tdil
6750,50,23,
6755,50,23,
6760,50,23,
6765,50,23,
6770,50,23,
6775,50,23,
6780,50,23,
6785,50,23,
6790,50,23,
6795,50,23,
6800,50,23,
6805,50,23,
6810,50,23,
6815,50,23,
6820,50,23,
6825,50,23,
6830,50,23,
6835,50,23,
6840,50,23,
6845,50,23,
6850,50,23,
6855,50,23,
6860,50,23,
6865,50,23,
6870,50,23,
6875,50,23,
6880,50,23,
6885,50,23,
6890,50,23,
6895,50,23,
6900,50,23,
6905,50,23,
6910,50,23,
6915,50,23,
6920,50,23,
6925,50,23,
6930,50,23,
6935,50,23,
6940,50,23,
6945,50,23,
6950,50,23,
6955,50,23,
6960,50,23,
6965,50,23,
6970,50,23,
6975,50,23,
6980,50,23,
6985,50,23,
6990,50,23,
6995,50,23,
7000,50,23,
7005,50,23,
7010,50,23,
7015,50,23,
7020,50,23,
7025,50,23,
7030,50,23,
7035,50,23,
7040,50,23,
7045,50,23,
7050,50,23,
7055,50,23,
7060,50,23,
7065,50,23,
7070,50,23,
7075,50,23,
7080,50,23,
7085,50,23,
7090,50,23,
7095,50,23,
7100,50,23,
7105,50,23,
7110,50,23,
7115,50,23,
7120,50,23,
7125,50,23,
7130,50,23,
7135,50,23,
7140,50,23,
7145,50,23,
7150,50,23,
7155,23,23,
7160,50,23,
7165,50,23,
7170,50,23,
7175,50,23,
7180,50,23,
7185,50,23,
7190,50,23,
7195,50,23,
7200,50,23,
7205,50,23,
7210,50,23,
7215,50,23,
7220,50,23,
7225,50,23,
7230,23,23,
7235,50,23,
7240,50,23,
7245,50,23,
7250,50,23,
7255,23,23,
7260,50,23,
7265,50,23,
7270,50,23,
7275,50,23,
7280,50,23,
7285,50,23,
7290,50,23,
7295,50,23,
7300,50,23,
7305,50,23,
7310,50,23,
7315,50,23,
7320,50,23,
7325,50,23,
7330,50,23,
7335,50,23,
7340,50,23,
7345,50,23,
7350,50,23,
7355,50,23,
7360,50,23,
7365,50,23,
7370,50,23,
7375,50,23,
7380,50,23,
7385,50,23,
7390,23,23,
7395,50,23,
7400,50,23,
7405,50,23,
7410,50,23,
7415,50,23,
7420,50,,
7425,50,,
7430,50,,
7435,50,,
7440,50,,
7445,50,,
7450,50,,
7455,50,,
7460,50,,
7465,50,,
7470,50,,
7475,50,,
7480,50,,
7485,50,,
7490,50,,
7495,50,,
7500,50,,
7505,23,,
7510,50,,
7515,50,,
7520,50,,
7525,50,,
7530,50,,
7535,50,,
7540,50,,
7545,23,,
7550,23,,
7555,50,,
7560,50,,
7565,50,,
7570,23,,
7575,50,,
7580,50,,
7585,50,,
7590,23,,
7595,23,,
7600,50,,
7605,23,,
7610,23,,
7615,50,,
7620,23,,
7625,50,,
7630,50,,
7635,50,,
7640,23,,
7645,23,,
7650,50,,
7655,23,,
7660,23,,
7665,50,,
7670,50,,
7675,50,,
7680,50,,
7685,23,,
7690,50,,
7695,50,,
7700,23,,
7705,23,,
7710,50,,
7715,50,,
7720,23,,
7725,50,,
7730,50,,
7735,50,,
7740,50,,
7745,50,,
7750,23,,
7755,23,,
7760,50,,
7765,50,,
7770,23,,
7775,23,,
7780,50,,
7785,50,,
7790,23,,
7795,23,,
7800,50,,
7805,23,,
7810,23,,
7815,50,,
7820,50,,
7825,50,,
7830,23,,
7835,50,,
7840,50,,
7845,23,,
7850,23,,
7855,50,,
7860,23,,
7865,23,,
7870,23,,
7875,23,,
7880,23,,
7885,23,,
7890,50,,
7895,23,,
7900,23,,
7905,50,,
7910,23,,
7915,23,,
7920,23,,
7925,23,,
7930,50,,
7935,50,,
7940,23,,
7945,23,,
7950,23,,
7955,50,,
7960,50,,
7965,23,,
7970,23,,
7975,50,,
7980,23,,
7985,23,,
7990,23,,
7995,23,,
8000,50,,
8005,50,,
8010,23,,
8015,23,,
8020,23,,
8025,23,,
8030,23,,
8035,23,,
8040,50,,
8045,50,,
8050,23,,
8055,23,,
8060,23,,
8065,23,,
8070,23,,
8075,23,,
8080,23,,
8085,23,,
8090,50,,
8095,23,,
8100,23,,
8105,23,,
8110,23,,
8115,23,,
8120,23,,
8125,23,,
8130,23,,
8135,23,,
8140,23,,
8145,23,,
